input_text,target_text
"summarize: As a low carber, I am always trying to find products which have a ""to die for"" taste and also fit nicely into my diet.  This PB2 with chocolate fills the bill to a T!  It's great for baking...(hint mixed with some coconut flour, eggs, sweetener, etc and you have yourself a lovely peanut butter cookie - low carb style)...and perfect for my protein smoothies.  I make a pitcher of my Peanut Butter Cup smoothie because other members of my family have claimed this to be their fave as well.  Using this PB2 with chocolate, Silk Light chocolate soymilk, ice & water, a little bit of sweetener (I have a serious sweet tooth!), a pinch of salt, chocolate protein powder, and a little bit of real peanut butter, I get about 2 quarts of smoothie for cents per serving!  What's more is it's only 110 calories & 10+ grams of protein per 8 ounces!  That's awesome in my book!",My Fave for Peanut Butter Cup Smoothies!
"summarize: We rescued a momma cat and her kitten.  It took the kitten a full week before she decided we were trustworthy.  Momma is still distrustful and keeps a safe distance.  She's also a finicky eater.  However, these snacks are bringing her around. When they hear the lid pop off the container, both cats come running!  Momma will even get on my lap to eat the snack, which is amazing for her.  I pet her when I feed her, conditioning her to my touch.  Baby cat just goes crazy at the sound and meows loudly, climbing all over me, until she gets her share.  I am definitely keeping these in stock!  They're good for a nice light snack and happy cats.",Our cats come racing at the pop of the lid...
"summarize: Whats wrong with you amazon? I ordered Comvita honey  asn B002FBD3J2 on Jan 18 and you sent me a bottle from a kiwi kosher parve I never heard of. So i ordered this one as the pic is at least the same bottle I got earlier last  year. Guess what I got today? Same ""kiwi"" honey with a different label!!! This time it was labelled umf instead of bioactive and a white cap compared to the black one I got from last time! Everything else is the same on the label! How could one legit company use two  mehotds for mesuring its activiy??? Also, there is no expiration date on the bottle!!! WTF???",Beware! This is not Comvita Honey!
"summarize: Bought these based on previous reviews.  I live in CA and dates are plentiful, but I hate shopping so I try to get as much as I can through Amazon. These don't compare at all to what is normally available locally.  Too dry, not all that sweet.  They seem like they've been on the shelf a long, long time and the packaging can't deal with it.  I didn't expect dates like I'd get in Indio, but I certainly won't be buying these again.  I may be spoiled becasuse of where I live, but if I have to spend the same amount of money, I'll just buy them locally and be sure of the quality.","Nice size, but pretty dry and tasteless"
"summarize: I read some of the reviews on here and I almost didn't purchase.  But I reached a point where due to my erratic work schedule, trying to fit in my studying time and completing assignments, my sleep pattern was disrupted and it was affecting my mood and concentration.  So I bit the bullet and purchased this at a local B&M store.  When I got home after work, I boiled some water and opened the package.  I noticed that this tea was packaged in a plastic bag so I guess it did has a pungent smell.  I opened the plastic bag and took a big whiff.  I was kind of disappointed.  It doesn't smell as bad as some of the other reviewers made it out to me but then again my nose has been wonky for some time so it could be me.  Yes I will admit that it does has a funky odor but it is not that strong to me.  To me, smells like this health food store I used to frequent in the Hyde Park neighborhood.  Very musky but weirdly comforting.  I have tried it with peppermint, turmeric (for a different affliction) and I have tried it plain with stevia and it taste okay to me.  I wouldn't say I have an iron stomach because I can easily get sick if food is left out in the open not at the proper temperature.  For me, this product took about two days for it to kick in and I am now able to sleep for a full eight hours straight instead of sleeping in fits of four hours here, wake up for about two hours, sleep for three, wake up for a hour and sleep for another four hours.  For those with sensitive noses and sense of taste, you have been amply warned by other reviewers.  For others, I say give it a shot or at least pair it with some other teas to dilute the taste a bit.  For example, mints like peppermint or spearmint will help.  Some folks will use lavender to mask the smell.","Yes it does have an odor that some will find disagreeable, but it works for me and I will continue to purchase it"
"summarize: After a week of having them..... Really don't care for this product. My dogs (2 4 year old mixed breed) were not excited about them. The girl had her's for all of about 3-4 minutes, then said thanks but no thanks and walked away. The boy chewed for about 7-8 minutes, then had enough. They stayed on the floor for them to enjoy at anytime, but they rarely have. And when they did chew them - well, I had small hard white pieces all over my rug. Needless to say, can't walk barefoot on the rug.<br />Sorry I made this purchase - especially at the price ! I do not recommend this product.",If you want white plastic pieces all over your floor - get it
"summarize: At 2 fat grams per cake I was very skeptical of the taste of this product, but I was quite happily surprised.  I'm a total choco-phile and I'm always looking for ways to get my fix without the all-consuming waistline guilt.<br /><br />It's not as decadent as what you'll get in a restaurant but then again those babies pack anywhere from 20-50 grams of fat per cake.  Let's not even TALK about the calories!<br /><br />I've tried both the plain chocolate and the mint chocolate version of this product and both are VERY good.  I recommend it for anyone, but particularly for choco-holics who don't want to consume a whole day's fat allowance in one shot! ;)",Almost as good as what you'll get in the restaurant
"summarize: I'd bet that this is pretty good- my dogs thought so! ha!<br />Bought some of this in bulk from the local natural food store, and planned to use it last weekend.<br />I'd not purchased this before, so only purchased ~ 0.5 lb, and was going to make 'meat' balls for spaghetti for dinner.<br />Unfortunately, I had placed the bag in a location accessible to (normally non-foraging) canines. (Am not irresponsible- just didn't think they could reach there!)<br />I arrived home (granted- one hour late from the pups' normal feeding time) and found only a thin plastic bag and the twist tie left, with the bin number written on it.<br />The mix had been COMPLETELY consumed by three medium sized dogs (likely just two, knowing their typical behavior), with only a very light dusting on the carpet left to give a clue as to what had been consumed.  It was a POPULAR find, as they often just don't finish off their 'kills', as the sport alone (conquest/capture) is largely sufficient without complete consumption.<br />A call to the natural food store ('just what was #96?') confirmed that it was this mix, and a websearch confirmed relatively benign contents that did indeed 'pass in the night' (and for the next few days)- and all is well.<br />Would not recommend this method of ascertaining quality/palatability, but am looking forward to my next (SECURE) purchase to try this mix!",Must be good- canine family members ate it before I could! ha!
"summarize: My Mini Aussie does agility training one night a week.  Being that she is an Aussie I am luck to have such a smart dog that has no problems being trained.  However I am also cursed to have a stubborn dog who likes to do things at her own pace and when she feels like it.  The only thing that motivates her are treats, and some treats she likes more than others.<br /><br />The Nathan Hot Dog treats seem to be one of her favorites (believe me she has favorites).  She will always do what is asked for a treat of her favorite snacks from Nathan.  In fact Nathans is one of about 5 treats that we use that she will actually try and steal from our other dog.  Normally she will sit patiently for her treat but Nathans will usually get her to jump up and down.<br /><br />Needless to say we recommend Nathans!!!",My dog likes these best of all
"summarize: I like Taco Bell. That may explain why I really like the taste of this Taco Bell Chipotle Sauce. It is good right from the bottle, two drips per chip, as a corn chip dip. Make nachos with a plate of chips, ladled with ground beef and onion mix, then pour on the Chipotle Sauce. What an appetizer; but unfortunately at the same calorie, fat, sodium, levels as most fancy restaurant dishes, or those huge multi-meat bacon cheese burgers. So for those who do not have to count calories or healthy nutrition, it's tasty. Spicy and flavorful without being HOT, at least to my liking, as I enjoy a bit of heat.<br /><br />If you're not a Mexican fast-food fan, you might find this product a bit unsophisticated. In that case, if the supreme high-priced Tex-Mex restaurants are your cup of tea, then skip this product. But if you want to spice up the celery, carrots and green peppers on your ball game night snack food tray, this may be as good as Taco Bell delivering to your door.<br /><br />Good also as a high calorie taco salad dressing. Unfortunately, I can't tell you if it is good on a taco because I ran the bottle dry before I got to trying it on a real taco.<br />If only they could reproduce the taste with heart healthy nutrition levels.<br />Oh well, I'll bet it's good on a cheeseburger.",Taste is great but Nutrition Facts prove hazzardous
"summarize: I tried some cooking with this but my kids didn't care for it, but just because the cooking thing didn't work out I surely did not throw this away! This is by far the best coconut oil I have been able to find and cooking is the very least important thing on my list!<br /><br />Our 3 year old son suffers from Eczema and this stuff is like a wonder oil!! I cover him from head to toe when he gets out of the bath. He smells lovely and it keeps his Eczema under control much better than any other (including perscription) lotions and meds ever have!!! That is a reason to have it forever right there.<br /><br />I use it for shaving my legs! It is amazing for this. I apply it to my legs before I get in the shower, get in, shave them and ohhh la la! No razor burn, no bumps, and oh so soft! It works so wonderful.<br />I also use it as hand cream when my hands are dry, eye makeup remover, and lip balm.<br /><br />There are so many uses! I highly recommend this product to everyone!!!",Worth the money and so great for everything!
"summarize: My Dad has been a Yuban fan for as long as I can remember. The stronger the better! When you break the spoons stirring it, it's just right! He even goes so far as to plan his shopping and the stops on the trips that he takes, at stores that serve Yuban coffee. Why, I don't know, I'm a sweet-tea-ice-no-lemon guy so I have no opinion on coffee, Yuban or not, one way or another. I can say that it smells good brewing but then so does Play-Doh and some of the old magic markers. I'm just trying to report about what I've been exposed to.<br />Here I buy the packs of 12, every 6 months for him and give them to him at Christmas and Father's day. They stay fresh and save the public from being exposed to the mad, half-clothed emergency trips to the store that my 70 year Widower father makes to score the base component for his and the ""house guest of the moment's"" (see *1 below) daily ritual sunrise aperitifs. We've asked about his dedication to Yuban coffee to which he replies, ""it's perfect black, but better with something in it!"" He is apparently referring to its flavor when mixed with any of the typical 'southern flavorings' (taxed and untaxed, regulated and unregulated) that he occasionally adds to his morning brew. He is definitely one satisfied customer and it makes my life easier (one less present to find each occasion) so take his actions and my word for it!<br /><br />(*1)...If she only comes over for breakfast it sure seems like a long way to drive, and please, tell me again, why does she bring so many clothes? No sir, I did not know that, do tell. When exactly did the CDC recommend showering before breakfast?",My Dad'sCoffee - Strong enough for a man
"summarize: I handed out the packets to all ages in our house for their opinions.  My reaction was that it tastes like Tang with a fizz, my 12 year old said it was Tang + fresh, ""Can't you taste the green tea at the end?"" he asked.  I could and it does leave a pleasant lingering green tea taste.  My thirteen year old liked it equally well.<br /><br />We used smaller juice size glasses and filled with water and ice.  The EBoost fizzed and tasted great.<br /><br />My older son took a packet to college and during lunch drank EBoost instead of soda for a much healthier and still refreshing drink.<br /><br />With only 5 calories and no sugar, you get all the Vitamin C, B6, selenium, chromium you need for a day.  You get 50- 75% of niacin, folate (great for pregnant women), zinc, and 14% potassium.<br /><br />Here's what the packet tells you: EBoost's naural proprietary blend delivers energy that is unyielding, focus that is unclouded, immunity that is derived from vitamins and minerals, and a means of recovery that is not only sugar-free but delivers essential nutrients.  EBoost gives all those who rely on it a healthy comptetive advantage.  At work, at play, at life.<br /><br />Whew!  I don't know about all that but if it is true my son is sure to ace the physics test today!<br /><br />The taste is good enough to make a regular appearance at breakfast.",Tang + Green Tea + Fizz= EBoost
"summarize: I don't know if most people know this or not, but in Japan we put loose green tea leaves in a pot and just keep pouring hot water over it until the ""taste"" is too weak. All the water must be poured out after no more than 3 minutes or else the tea will be biter. Thats why most Japanese tea sets are so small. Green tea isn't meant to be left in a teapot like english teas. So my first cup of green tea was actually a little stronger than I am used to and I actually got 3 uses out of ONE k-cup. I highly recommend using them more than once if you are making the tea one cup after another....and it will save you MONEY!",USE THE CUPS MORE THAN ONCE!!! EXTRA VALUE!
"summarize: When I first saw this product I thought, great, all natural coconut and shea butter. It's the latest rave and so good for you. This product also smells so deliciously wonderful, like a coconut/pineapple tropical delight! I really like how it feels on my long frizzy hair and makes it so shiney and smooth. Wonderful stuff!!!<br /><br />Once I really looked into the ingredients, I was horrified! I've been really looking at ingredients closely these days and did the same with this product.<br /><br />First ingredient Mineral Oil. Not the greatest stuff since is it a by-product of distillation of gasoline and considered a carcinogenic by some people.<br /><br />Second, HYDROGENATED Coconut Oil. What does that mean? I know coconut oil in it's raw form is really good in our diets and on our skin. After some google research I found out that Hydrogentated Coconut Oil is created by heating to 500-1000 degrees, then a catalyst is injected. The catalyst is typically nickel, platinum, or even aluminum! This stuff is bad for you! It is closer to plastic than a good for you organic compound.<br /><br />Sure, you're not putting it IN YOUR BODY, but there is some absorption that takes place when you squeeze it in your hands and through you scalp.<br /><br />Third ingredient, even worse! Styrene Butadiene Copolymer. Labeled as BHT and most people don't notice this ingredient or even think anything of it. It's Synthetic Rubber used in CAR TIRES, yuck! Embalming fluid, even more yuck! It has been associated to child hyper-activity and cancer.<br /><br />I just can't give this item a good review. It's not even Gluten Free since it has Wheat Germ Oil. Other ingredients are good, like Sweet Almond Oil and Aloe.<br /><br />This product feels really nice in my hair and I will use in on an OCCASSIONAL basis, but not on a daily basis. I have found plain shea butter or coconut oil in raw form is the very best thing for my dry, frizzy hair.","Loved at first, but ingredients are not natural!"
"summarize: I bought the 1.41 oz. package of this seasoning and used two packets with water and a small amount of oil to simmer mussels and clams to serve with paella made with millet, goya yellow rice, peas, sausage, chicken, canned diced tomatoes and other ingredients. This seasoning made a perfect broth.  My first attempt at paella was disappointing, but this perked it up the next day.  If you want an easy way to fix mussels and clams, just add a packet or two of this seasoning to water in a large, wok-style pan.  The mussels and clams will open in the savory broth and you can serve them right from the pan.  Delicious!",Makes a flavorful broth for paella with mussels and clams!
"summarize: After reading all of the dented can reviews, I wasn't sure what to expect. I did get 3 dented cans out of the 12- one was a mild ding, one was fair, and one was such that if I'd been picking it out at the grocery store, I would have looked for a different one- I just ate that one first.  Oddly, they were cans that came from the MIDDLE of the case- so something that happened at the manufacturer- NOT Amazon.  The cardboard tray was unscathed.  ConAgra needs to  do a quality control check on their can dinging area.<br /><br />Anyway, the flavor is pretty good. The first bite wasn't impressive, but since I'm on a fixed income, I only throw away stuff that is about to make me hurl, so I kept eating it.  It got better, and I am glad I got the product.  There were 7 ravioli in the whole can. That is a bit skimpy, but since it was going to be the only thing I had, I ate the whole can and was quite satisfied.  The sauce is much more flavorful than the Chef-Boyardee regular beef ravioli that I had as a kid, and tastes more Italian.<br /><br />The WHOLE can has 480 calories, 10 gms of fat, 78 gms of carbs, and 18 gms of protein.  There are also 10 gms of fiber in the whole can.  The serving size says that  the can is about 2 servings.  Hmm.... maybe for a young kid, or if there was a good salad, and fruit on the side, but I have too much pain to make full meals.  I have to make do.  There are 1 1/2 cups of vegetables per can- so that's good.<br /><br />No preservatives or MSG.  Unfortunately, it probably contains GMO sources of soy and wheat.<br /><br />I originally got these to have on hand for power outages, as I have a gas oven and could heat this up.  The expiration date is for 2 years from now, so that's good.  I can keep them in the pantry for such occasions, but can also see being fine with eating them on days when it's just too hard to come up with anything else.",Pretty good flavor !  Great price !
"summarize: I got these because my local store was out of the capsule size in beef flavor.  I discovered that they work just as well for big capsules, if you use your fingers to press the treat around them.  My dog is very picky and yet he gets the capsule wrapped in this pocket without a problem.  This suits me fine, since the tablet pockets are cheaper.<br /><br />I took one star off because the ingredients are questionable, lots of chemicals, color, corn syrup and other crap.  If my dog were not that old that his comfort is more important to me than his health, I honestly wouldn't go near them.<br /><br />Also, he will not touch the duck flavor, though, but I reviewed this flavor separately.","good for capsules, too - success depends on flavor"
"summarize: Excellent quality of individual whole leaves.<br /><br />For some reason I get jittery from green tea but I love the taste, so a decaf version was just perfect.<br /><br />Mild tasting and given the high quality of the leaves, you are able to just drop a little at the bottom of the mug and fill with hot water and you will be able to drink without fussing with additional accessories.<br /><br />A pound of tea is A LOT of tea, so I'm sure this will last a while.<br /><br />It came in a resealable bag but it wasn't the best quality and broke on the second opening, so I had to find alternative storage for it.","Mild tasting, great quality whole leaves"
"summarize: You would think such a large brand should be trusted; that they made money by making a healthy product for dogs. Well, let me not even say what effects this dog food had on my dog--let me just show the beginning of the ingredients list from the [...] website as of the date of this review (Check there yourself if you don't trust me):<br /><br />Ground yellow corn, chicken by-product meal, corn gluten meal, whole wheat flour, animal fat preserved with mixed-tocopherols (form of Vitamin E), rice flour, beef, soy flour, sugar, sorbitol<br /><br />Corn and corn gluten and rice flour are not exactly wonderful, but--SUGAR and SORBITOL! Sorbitol, that nasty stuff in gum that gives people gas and loose stools! Can you wonder why your dog stinks up the house if it's eating this crap? And sugar! Need I even say why that is bad, or what health problems that can lead to? My vet sure got on a soapbox over the dangers of sugar, and rightly so. And even the ""healthy weight"" stuff has sugar and sorbitol in it!<br /><br />Don't buy Beneful for your dog. Pay careful attention to the entire ingredients list of the dog food you DO buy, as a lot of brands sure don't think you care about whether your dog lives many years or has expensive vet bills as long as it scarfs down their corner-cutting product. And if you must buy Beneful, at least send the company a few angry letters telling them to take the sugar and fake sweeteners out so you no longer have to feel you're killing your dog. I mean, come on, they could use apple juice if they wanted a sweetener. This is incredibly unhealthy and reprehensible, if you ask me. I sure won't buy this dog food ever again, and I would think twice before trusting Purina.",Healthy as a box of chocolates for your dog.
"summarize: I like rich, dark, bold coffee.  After giving up my K-cup machine to go back to a traditional brewer, I was looking for a dark roast that could match my bold k-cups. I drink a lot of coffee, so I wanted to find something more reasonably priced than the ""name"" brands.  I saw a posting on another site for a deal on this coffee and figured I'd check out the reviews. Most were good, and the price was pretty fantastic so I decided to give it a try. Wow! I am so impressed.  Smooth, delicious, bold flavor.  I've been drinking coffee forever, and managed an upscale coffee shop for 2 years, and I truly love this roast. I think it's comparable to the pricey brands for sure.  Seriously, can't recommend it enough.",Delicious dark coffee for unbeatable price
"summarize: I thought is would be a great way to try a variety of teas.  The main disappoint I have is that the number one tea that I was wanting to try from this purchase was the Indian Spice Chai Tea, but there was none in the package I received.  The packaging was quite unexpected - a brown paper bag with a computer printed black and white label.  The individual k-cups are intact, so I do not question the contents of them; I just unprepared for a brown paper bag.  I think my husband and I will enjoy try the different tea varieties, none-the-less.",Disappointed that the Indian Spice Chai Tea is missing
"summarize: I have never seen the silver dutch cocoa - when I found this cocoa I bought it at Wal Mart and found it has a recipe for chocolate mousse on the back!  I haven't served it to anyone that didn't like it.  I made it for the church's thanksgiving dinner. I made some with cane sugar and some with splenda - it was a hit!  Instead of using the 2 cups of whipping cream, I use 1 cup of whipping cream and 1 cup of 1/2 n 1/2 and it turns out great.  I get 4 oz plastic containers w/ lids and that is what I put it in. - for a real treat - freeze the cane sugar ones and it is like a fudge cycle.  Oh yea- when I make my cheese cake I make some mousse with the 2 cups of whipping cream (b/c it is thicker to begin with) and pour a layer over the cake, refridgerate it - cut it and serve it! The last time I went to Wal Mart to buy it - they didn't have it so I went to Winn Dixie - then I found where I could order it from Amazon - I signed up for a regular shipment - there was no shipping for 6.  Comparable to the grocery stores","Makes the best mousse recipe on the back! To lighten the calorie load, I use 1/2 cream and 1/2  half n half -  sometimes splend"
"summarize: I bought these four small cans because usually powdered milk can be very sensible to humidity. There are other choices, like a huge 4 pounds can, and in the end that can be cheaper. However, I prefer to pay a little bit higher and can 4 small cans, its convenient ... unless you have 5 children.<br /><br />Well going to the product: this is is powdered milk made un Mexico. The taste is really good, for sure much better than any 2% fat milk that you can buy in the supermarket. How does it compare to the taste of 4% fat fresh milk (say for instance Horizon, Or Archer farms)? Well I say that the flavor is the same, parhaps the powdered milk has even better taste since it feels a little bit creamier. However, you have to understand that how creamier it feels dependend on respecting the suggested proportion (4 tablespoons per 236 cubic centimeters).<br /><br />For me the taste is GREAT. Also the preparation is really good, my recomendation is to buy some Shaking glass or use and Hydratation bottle to shake the mix and you will get perfectly homogeneous milk. I use and hydratation bottle at work to prepare my milk, eventually mix it with powdered smoothies like Vega Whole Food Shake.<br /><br />Summarizing: its a really convenient product, tastes like fresh milk (or better), it mixes very well with cold water, the price/liter is very competitive compared to good brands of milk (e.g. Horizon) and you don't need a fridge. The only precaution you should know is that powdered milk is very sensible to humidity and fungus, so I recommend good storage, ALWAYS USE AN ABSOLUTELY DRY SCOOP so that you don't introduce humidity into the can.","Good taste, good mixability, good value in general, just be careful with humidity"
"summarize: Water with a Ph of 9.5 is thought to help with many physical ailments (Google it) as well as hydrate better, especially after strenuous activity. I've never seen much of a difference using sports drinks vs cold water, but many people do. This drink would be a much cheaper alternative to those $1 and $2 sports drinks. It does have a different ""texture"" than regular water, perhaps because of the Ph level.<br /><br />There is no source specified, so I assume it's from tap water.  The source does not really matter to me. Many of the springs in this country are becoming contaminated, and those that draw water from ""mountain streams"" - eeewww!  Animals and people use those as a bathroom, and things die and rot there.  The bottom line is that ALL water get filtered thoroughly, no matter the source, and it all starts in the same place.  That's personal preference, but I'm not paying a premium for ""spring"" water that's going to be filtered anyway!","Hey, it's H20 with a twist"
"summarize: I was looking forward to these. The shipment got lost in the mail and arrived three weeks late, however, from inspecting the cookies inside they were not damaged at all. The cookies have a very VERY good gingery taste without any after-taste of chemistry. Organic as homemade, just as you want from Newman's Own. They are riddled with chunks of candied ginger, too, to amplify the flavor. Flavor is top notch.  A ginger-snap is supposed to be crispy... BUT... these are hard-cooked to dog-biscuit consistency, over-browned on the bottom and tooth-breaking solid. Would not purchase again, unless I run into a few in the bottom of the bag not so dark and hard.","not crispy, hard as a rock"
"summarize: When I was very young I tried using this exceedingly dry cheese to make a sauce and I don't advise it.  As I recall, it never did blend in smoothly and the result was rather grainy.  Small grains but grainy lumps nonetheless. (Poor hubby- lol).<br /><br />But as something to keep in the pantry or fridge to throw on top of spaghetti, garlic toast, a salad, or into meatloaf at the last minute, it's great.<br /><br />Three and a half Stars.  Kraft Parmesan Cheese has it's place in the kitchen.  Not so much as a source of Alfredo sauce, but rather as a condiment.<br /><br />Reasonably priced.  Long shelf life means you have a fall back position if your block Parmesan has gone too moldy.  Unlike some brands there are no `fillers'.  Only two preservatives; one to preserve flavor, the other to prevent caking.",Good Pantry Staple - but it has it's limitations
"summarize: The packaging was so beautiful, all color coordinating, high color graphics, very artistically created and arranged. They were all designed with the feel of old world European elegance.  (Perhaps the color palette and design motifs from the era of what we associate with Marie Antoinette.)  All the cookies in the assortment were fantastically delicious.  We gobbled through them all in two days.  (most were petite size in packages with 2 servings each approx.) These were more what I would call European biscuit type cookies that you might find enjoyable with afternoon tea (ie. more like shortbread cookies, nibbly, not chewy, and not overly sweet - how refreshing!).  These cookies were all very fresh, made with very high quality ingredients, and a true pleasure to enjoy.  I would highly recommend this gift basket to anyone.  The entire thing was delivered well wrapped and not one cookie was broken on the inside.  The basket was made of very high quality and can be reused as a fruit basket or a bread basket etc.  I can't say enough good things about this gift basket of cookies.","Really really delicious, gorgeous packaging, awesome gift idea"
"summarize: Our Silver Dapple Miniature Dachshund Sophie loves this food and we do too! After trying many foods with no luck we came across Fromm and knew it was Sophie's new food from day one. This food had done great at keeping her weight in check and her coat soft and shiny. She has to eat less and poops very little due to there not being any fillers in Fromm foods. We tell every person we meet about this food, all of our friends have changed their dog to Fromm and love it for their pups too. Thank you Fromm for making such a great food for our Miss Sophie!",Best food for small breed dogs!
"summarize: The good folks at ""Back to NATURE"" have put together an absolutely scrumptious granola offering.  It's so good that you can sit there with the open bag and snack on it handful after handful.  The granola is heavily punctuated with chunks of real dark chocolate.<br /><br />I wanted to try more of this before it was gone, but before I knew it my family had discovered and devoured the entire bag...and that's a good sign!<br /><br />I could also see adding nuts, perhaps almonds or cashews, maybe some M&Ms, and before you know it you'll have a super-fantastic trail mix...good for hiking or camping.  It's the sort of thing you could send out the door with your teenagers and be happy knowing that they are getting something that is good, and good for them.<br /><br />At the same time, this treat may deserve to be stashed away in your secret place for those times when you need something great for yourself.  Perhaps this granola is too good for kids to wolf down before they realize what they had.  You'll have to make the call on this one :-)<br /><br />Now why doesn't this product get 5-stars, with all that glowing praise?<br /><br />It's like this...this granola is pricey, pricey, and expensive!!!  That's the only reason this product misses out on the 5-star mark (at least for me).  Again, only you can judge whether your budget can handle an item like this.<br /><br />""Back to NATURE"", thanks for a great tasty treat!","Delicious with a capital ""D""...but Expensive wtih a capital ""E"""
"summarize: Two miniature Australian shepherds, accustomed to very good food, found the Purina Beneful as tasty as their occasional treats and cleared their bowls quickly every time they were given it. There appeared to be no digestive issues, and they were satisfied with the usual size serving.<br /><br />That said, I can't in good conscience give this more than three stars. Reviewing the ingredients list and comparing it to other dog foods on the store shelves, this seems  over-priced for the quality of nutrition it provides. Still too many corn byproducts and other pretty non-dog kinds in its make up to want to buy it on a regular basis.<br /><br />On the other hand, it was cheaper than a lot of doggy treats that are not very nutritious either. Maybe buying a small bag and using it as a treat source while training a puppy could be a relatively inexpensive way to go and wouldn't throw off the overall nutritive value of the dog's overall diet.","Dogs love it, but not an impressive ingredients list"
"summarize: Cafe mocha, I mean who doesn't enjoy a sweet cup of coffee with a delicious chocolate overtone. I sure do. I dream of them and looked forward to trying this. This was a nightmare :P  &lt;--- that was exactly what my face looked liked.<br /><br />I wish companies would be at least label their products that have artificial sweetener... as in this case sucralose. Sucralose has a nasty after and beginning taste in my opinion. I don't ever buy products intentionally that have this in it. If you don't mind sucralose, then it probably wouldn't bother you.<br /><br />However, if you dare to continue and try your own cup. Let me warn you. It doesn't have a coffee flavor. Or maybe a mild one.I couldn't get passed the sucralose taste. It is instant coffee as well. (no grinds in the filter left)<br /><br />As suggested by others stick to the reg. coffee and add some Andes mints or your own favorite hot chocolate to it.",One sip and dumped the cup!
"summarize: This salt is definitely worth the cost.  I sure didn't think so when a buddy gave me a jar of it, but 2 months later the jar is empty and I am fiending for more! Ounce for Ounce this salt is tastier and saltier than average table salt, so you will use less than normal table salt.  It will still end up more expensive, but you will not be disappointed.  As for the rat hair and scratches...I have never seen anything like that.  Great stuff and I not only ""Would recommend to a friend"" but I do recommend to all of my friends.  Think a 6 pack is too much?  Give a jar to a buddy and share the love, that's how I got hooked!",Best Saltiest Salt Ever - Worth your time.
"summarize: Our 4 year old mutt is loving this hearty dry dog food!  We had always been fans of the Chef Michael's wet canned food, giving it to our healthy dog since she was a year old.  But this new dry food is a great addition with thick, tasty chunks and nutritious ingredients.  The combination of veggies and meat make for a well balanced meal.  We don't add water to make it juicy since our dog loves sinking her teeth into the crunchy pieces, but for an occasional variation the added water mixes a nice soupy texture.  One thing I particularly like is that the food doesn't stink really badly like other commercially prepared pet foods.  An affordable, healthy choice for your pup.",A pet favorite in our home
"summarize: Rather than just eat chips for a snack I love the Blue Diamond Almond snacks.  This is one of my favorite flavors and the only problem is that they are hard to stop eating.  They have a nice rich smoky flavor and the jalapeno is just enough of a spicy kick to make these almonds taste better.<br /><br />The nice thing about this treat is that they have only 1 gram of sugar while giving you 6 grams of protein and 3 grams of fiber.  They are a healthy snack and you get Vitamin E, magnesium and calcium in every serving.  This particular flavor does have 180 mg of Sodium (7% of a daily 2000 calories diet) per serving but they really taste good!  Just make sure that you only count our 28 almonds and eat one portion for 170 calories.  It is really hard to do and they taste so darn good!",Crunchy almond treat with a sassy Jalapeno kick!
"summarize: For years I wondered what the sauce was that is served with the traditional Peking Duck meals as restaurants, since it was the definitely the star ingredient in the dish. At every restaurant I have ever ordered Peking Duck at, they described the sauce as ""plum sauce"". However when you buy plum sauce, you find it has a very different taste than the sauce used in the meal. So I was never able to put together what it was that was served with Peking Duck. Finally one day I was making a different dish at home that called for Hoisin sauce, which I had never used before. After tasting it, I was thrilled to find that this was that mystery sauce used in Peking Duck. So now I can enjoy my favorite meal at home any time, since I just substitute the duck in the dish with chicken.<br /><br />For those unfamiliar with the sauce, it's a sweet Asian barbecue sauce. It's not even the least bit spicy.<br />This is the ingredients list:<br />High Fructose Corn Syrup, Soybean Paste (Fermented Soybeans, Salt, Wheat, and Water) Molasses, Pumpkin Puree, Red Wine Vinegar, Water, Wheat Flour, Modified Corn Starch, Salt, Hydrolyzed Soy, Corn, Wheat protein, Garlic Powder, Caramel Color, Sesame Seed Oil, Spices, Xanthan Gum, Natural Flavors, Citric Acid, FD&C Red No. 40, Sodium Benzoate as a Preservative.","This is the mystery ""plum sauce"" used in Peking Duck"
"summarize: This was the flavor most people preferred when I shared these Fruit Thins in the Office and the response was 45% YUCK, 40% GOOD, and 15% Neutral.  The Yuck group complained that the cracker was too dry, fruit tasted like cough syrup, texture was too chewy.  The Good group like that this was at least nutrious compared to similar crackers and tasted like newtons.  I fell into the neutral group and my main opinion is that it is okay, this type of cracker has been done before, some have had baked better versions and the price is quite expensive for a bag of crackers.  One of the more colorful comments is that NEWTON'S are always characterized by a soft fruit filled cake and this product just does not come close to that description hence the comfort food factor which might have made this more acceptable is lost.  Good effort, bad execution.","Da Better Flavor, but still I've eaten better"
"summarize: I have longish hair which goes wild with summer humidity and which gets sort of dry from pool chlorine, so I was interested to see what 'Strong Lengths Nourishing Conditioner' could do for me.<br /><br />I have to say that it's a rough equivalent of Pantene conditioner in thickness and how it goes on and rinses out.  Even afterwards I can't say that I could tell the difference in how my hair looked and felt as compared to Pantene.  And I'd probably buy one or the other interchangeably based on price.<br /><br />I would like to note though that if you have long crazy hair like mine that you might want to try <a href=""http://www.amazon.com/gp/product/B007RTR8T8"">CLEAR SCALP & HAIR BEAUTY Moisturizing Dry Scalp Nourishing Conditioner</a> instead.  It really calmed the humidity frizzies for me and with my next shampoo that's what I'm planning on using for the duration of Summer.<br /><br />Pam T~","Okay, but I actually like SC&H's..."
